show,year,rating,imdb,rotten_tomatoes
1,Happy Days,1974,7+,7.4,N/A
2,Queen Sugar,2016,16+,7.7,97%
3,Murdoch Mysteries,2008,7+,8.1,N/A
4,Kamisama Kiss,2012,7+,8.1,N/A
5,Solar Opposites,2020,18+,8.2,N/A
6,CSI: Miami,2002,16+,6.4,N/A
7,Miranda,2009,7+,8.1,N/A
8,I Am the Night,2019,7+,7.0,74%
9,"Sabrina, the Teenage Witch",1996,all,6.6,N/A
10,The Legend of the Blue Sea,2016,N/A,8.1,N/A
11,Claws,2017,18+,7.3,90%
12,The Split,2018,N/A,7.6,73%
13,American Housewife,2016,7+,7.3,N/A
14,Airwolf,1984,7+,6.7,N/A
15,Leah Remini: Scientology and the Aftermath,2016,16+,9.1,N/A
16,America's Next Top Model,2003,7+,5.5,N/A
17,Metalocalypse,2006,18+,8.2,N/A
18,The Musketeers,2014,16+,7.8,N/A
19,Life in Pieces,2015,7+,8.0,N/A
20,LEGO Masters,2020,7+,7.2,67%
21,Bleak House,2005,16+,8.3,N/A
22,Rugrats,1991,all,7.4,N/A
23,Good Luck Charlie,2010,all,7.0,N/A
24,Highschool of the Dead,2010,18+,7.2,N/A
25,My Teen Romantic Comedy SNAFU,2013,16+,7.8,N/A
26,The First 48,2004,18+,8.2,N/A
27,Cardinal,2017,16+,7.7,N/A
28,X-Men: Evolution,2000,7+,7.9,N/A
29,Monster Musume: Everyday Life with Monster Girls,2017,18+,6.7,N/A
30,The Event,2010,16+,7.0,67%
31,Spiral,2005,7+,8.5,N/A
32,Deutschland 86,2018,N/A,7.6,100%
33,Overlord,2015,18+,7.8,N/A
34,Pawn Stars,2009,7+,7.2,N/A
35,Reprisal,2019,18+,7.5,44%
36,The Eric Andre Show,2012,18+,8.6,N/A
37,Taxi,1978,7+,7.6,N/A
38,American Gothic,1995,7+,8.1,67%
39,Ouran High School Host Club,2006,16+,8.2,N/A
40,Atlantis,2013,7+,6.6,62%
41,The Mick,2017,16+,7.8,N/A
42,Holey Moley,2019,7+,6.7,91%
43,My Little Pony: Friendship Is Magic,2010,7+,7.6,N/A
44,Dawson's Creek,1998,16+,6.6,N/A
45,Anthony Bourdain: No Reservations,2005,7+,8.4,N/A
46,Robin of Sherwood,1984,N/A,8.5,N/A
47,The Curse of Oak Island,2014,7+,7.0,N/A
48,Noragami,2014,16+,7.9,N/A
49,Black Lagoon,2006,18+,8.0,N/A
0,The League of Gentlemen,1999,18+,8.4,N/A
1,Bless This Mess,2019,7+,6.7,82%
2,Danny Phantom,2004,7+,7.1,N/A
3,Assassination Classroom,2015,16+,8.0,N/A
4,Schooled,2019,7+,6.9,73%
5,Yu-Gi-Oh! GX,2004,all,6.7,N/A
6,Ergo Proxy,2006,16+,8.0,N/A
7,The Masked Singer,2019,7+,6.3,N/A
8,Sealab 2021,2000,16+,7.9,74%
9,Numb3rs,2006,7+,6.9,N/A
10,Friday Night Dinner,2011,18+,8.1,N/A
11,The Bold Type,2017,16+,8.0,N/A
12,Naked and Afraid,2013,16+,6.6,N/A
13,Pitch,2016,16+,7.4,94%
14,Silent Witness,1996,16+,7.8,N/A
15,Breakout Kings,2011,16+,7.3,41%
16,Clannad,2007,7+,7.9,N/A
17,Dragon Ball GT,1996,7+,6.8,N/A
18,Fire Force,2019,7+,7.7,N/A
19,Saving Hope,2012,16+,7.5,N/A
20,Intervention,2005,16+,7.9,N/A
21,Songland,2019,7+,7.7,67%
22,Diabolik Lovers,2013,16+,5.3,N/A
23,Outsourced,2010,16+,7.5,20%
24,Saved by the Bell,1989,all,7.0,N/A
25,60 Days In,2016,16+,7.7,N/A
26,How the Universe Works,2010,7+,9.0,N/A
27,Station 19,2018,16+,6.5,N/A
28,DARLING in the FRANXX,2018,16+,7.3,N/A
29,We Bare Bears,2015,7+,7.9,N/A
30,The Son,2017,16+,7.5,52%
31,Taken,2017,16+,6.6,32%
32,MasterChef,2010,16+,7.3,N/A
33,The Outer Limits,1995,18+,7.7,N/A
34,Crayon Shin-chan,1992,7+,7.9,N/A
35,The Ultimate Fighter,2005,16+,7.8,N/A
36,Vampire Knight,2008,16+,7.5,N/A
37,Saving Grace,2007,18+,7.6,73%
38,Clique,2017,7+,7.0,100%
39,The Long Road Home,2017,18+,7.5,77%
40,Lincoln Rhyme: Hunt for the Bone Collector,2020,16+,6.9,30%
41,Darker than Black,2007,16+,7.8,N/A
42,Forensic Files,1996,16+,8.8,N/A
43,The First,2018,18+,6.7,68%
44,90 Day Fiancé,2014,16+,6.3,N/A
45,This Country,2017,16+,8.5,96%
46,Project Runway,2004,16+,7.3,N/A
47,9-1-1: Lone Star,2020,16+,6.4,N/A
